x;
486;Surface_palate_left 3
487;Surface_palate_left 4
488;Surface_palate_left 5
489;Surface_palate_left 6
490;Surface_palate_left 7
491;Surface_palate_left 8
492;Surface_palate_left 9
493;Surface_palate_left 10
494;Surface_palate_left 11
495;Surface_palate_left 12
496;Surface_palate_left 13
497;Surface_palate_left 14
498;Surface_palate_left 15
499;Surface_palate_left 16
500;Surface_palate_left 17
501;Surface_palate_left 18
502;Surface_palate_left 19
503;Surface_palate_left 20
504;Surface_palate_left 21
505;Surface_palate_left 22
506;Surface_palate_left 23
507;Surface_palate_left 24
508;Surface_palate_left 25
509;Surface_palate_left 26
510;Surface_palate_left 27
511;Surface_palate_left 28
512;Surface_palate_left 29
513;Surface_palate_left 30
514;Surface_palate_left 31
515;Surface_palate_left 32
516;Surface_palate_left 33
517;Surface_palate_left 34
518;Surface_palate_left 35
519;Surface_palate_left 36
520;Surface_palate_left 37
521;Surface_palate_left 38
522;Surface_palate_left 39
523;Surface_palate_left 40
524;Surface_palate_left 41
525;Surface_palate_left 42
526;Surface_palate_left 43
527;Surface_palate_left 44
528;Surface_palate_left 45
529;Surface_palate_left 46
530;Surface_palate_left 47
531;Surface_palate_left 48
532;Surface_palate_left 49
533;Surface_palate_left 50
534;Surface_palate_left 51
535;Surface_palate_left 52
536;Surface_palate_left 53
537;Surface_palate_left 54
538;Surface_palate_left 55
539;Surface_palate_left 56
540;Surface_palate_left 57
541;Surface_palate_left 58
542;Surface_palate_left 59
543;Surface_palate_left 60
544;Surface_palate_left 61
545;Surface_palate_left 62
546;Surface_palate_left 63
547;Surface_palate_left 64
548;Surface_palate_left 65
549;Surface_palate_left 66
550;Surface_palate_left 67
551;Surface_palate_left 68
552;Surface_palate_left 69
553;Surface_palate_left 70
554;Surface_palate_left 71
555;Surface_palate_left 72
556;Surface_palate_left 73
557;Surface_palate_left 74
558;Surface_palate_left 75
559;Surface_palate_left 76
560;Surface_palate_left 77
561;Surface_palate_left 78
562;Surface_palate_left 79
563;Surface_palate_left 80
564;Surface_palate_left 81
565;Surface_palate_left 82
566;Surface_palate_left 83
567;Surface_palate_left 84
568;Surface_palate_right 1
569;Surface_palate_right 2
570;Surface_palate_right 3
571;Surface_palate_right 4
572;Surface_palate_right 5
573;Surface_palate_right 6
574;Surface_palate_right 7
575;Surface_palate_right 8
576;Surface_palate_right 9
577;Surface_palate_right 10
578;Surface_palate_right 11
579;Surface_palate_right 12
580;Surface_palate_right 13
581;Surface_palate_right 14
582;Surface_palate_right 15
583;Surface_palate_right 16
584;Surface_palate_right 17
585;Surface_palate_right 18
586;Surface_palate_right 19
587;Surface_palate_right 20
588;Surface_palate_right 21
589;Surface_palate_right 22
590;Surface_palate_right 23
591;Surface_palate_right 24
592;Surface_palate_right 25
593;Surface_palate_right 26
594;Surface_palate_right 27
595;Surface_palate_right 28
596;Surface_palate_right 29
597;Surface_palate_right 30
598;Surface_palate_right 31
599;Surface_palate_right 32
600;Surface_palate_right 33
601;Surface_palate_right 34
602;Surface_palate_right 35
603;Surface_palate_right 36
604;Surface_palate_right 37
605;Surface_palate_right 38
606;Surface_palate_right 39
607;Surface_palate_right 40
608;Surface_palate_right 41
609;Surface_palate_right 42
610;Surface_palate_right 43
611;Surface_palate_right 44
612;Surface_palate_right 45
613;Surface_palate_right 46
614;Surface_palate_right 47
615;Surface_palate_right 48
616;Surface_palate_right 49
617;Surface_palate_right 50
618;Surface_palate_right 51
619;Surface_palate_right 52
620;Surface_palate_right 53
621;Surface_palate_right 54
622;Surface_palate_right 55
623;Surface_palate_right 56
624;Surface_palate_right 57
625;Surface_palate_right 58
626;Surface_palate_right 59
627;Surface_palate_right 60
628;Surface_palate_right 61
629;Surface_palate_right 62
630;Surface_palate_right 63
631;Surface_palate_right 64
632;Surface_palate_right 65
633;Surface_palate_right 66
634;Surface_palate_right 67
635;Surface_palate_right 68
636;Surface_palate_right 69
637;Surface_palate_right 70
638;Surface_palate_right 71
