x;
325;Surface_palate_right 27
326;Surface_palate_right 28
327;Surface_palate_right 29
328;Surface_palate_right 30
329;Surface_palate_right 31
330;Surface_palate_right 32
331;Surface_palate_right 33
332;Surface_palate_right 34
333;Surface_palate_right 35
334;Surface_palate_right 36
335;Surface_palate_right 37
336;Surface_palate_right 38
337;Surface_palate_right 39
338;Surface_palate_right 40
339;Surface_palate_right 41
340;Surface_palate_right 42
341;Surface_palate_right 43
342;Surface_palate_right 44
343;Surface_palate_right 45
344;Surface_palate_right 46
345;Surface_palate_right 47
346;Surface_palate_right 48
347;Surface_palate_right 49
348;Surface_palate_right 50
349;Surface_palate_right 51
350;Surface_palate_right 52
351;Surface_palate_right 53
352;Surface_palate_right 54
353;Surface_palate_right 55
354;Surface_palate_right 56
355;Surface_palate_right 57
356;Surface_palate_right 58
357;Surface_palate_right 59
358;Surface_palate_right 60
359;Surface_palate_right 61
360;Surface_palate_right 62
361;Surface_palate_right 63
362;Surface_palate_right 64
363;Surface_palate_right 65
364;Surface_palate_right 66
365;Surface_palate_right 67
366;Surface_palate_right 68
367;Surface_palate_right 69
368;Surface_palate_right 70
369;Surface_palate_right 71
370;Surface_palate_right 72
371;Surface_palate_right 73
372;Surface_palate_right 74
373;Surface_palate_right 75
374;Surface_palate_right 76
375;Surface_palate_right 77
376;Surface_palate_right 78
377;Surface_palate_right 79
378;Surface_palate_right 80
379;Surface_palate_right 81
380;Surface_palate_right 82
381;Surface_palate_right 83
382;Surface_palate_right 84
383;Surface_palate_right 85
384;Surface_palate_right 86
385;Surface_palate_right 87
386;Surface_palate_right 88
387;Surface_palate_right 89
388;Surface_palate_right 90
389;Surface_palate_right 91
390;Surface_palate_right 92
